Filename,74oox_ad.tif,74oox_ad.tif,74oox_ad.tif,74oox_ad.tif,5800x_y.tif,5800x_y.tif,7400x_ac.tif,7400x_ac.tif,7400x_ac.tif,7400x_g.tif,7400x_g.tif,7400x_g.tif,7400x_h.tif,7400x_h.tif,7400x_u.tif,7400x_u.tif,7400x_u.tif,7400x_v.tif,7400x_w.tif,7400x_w.tif,7400x_w.tif,9700x_m.tif,9700x_m.tif,9700x_n.tif,9700x_n.tif,9700x_s.tif,13500x_j.tif,13500x_j.tif,13500x_k.tif,13500x_m.tif,13500x_q.tif,17500x_o.tif,17500x_p.tif,33000x_l.tif
C1,88.608,179.061,124.145,723.483,284.042,336.153,304.902,154.500,228.446,55.924,103.885,145.482,517.114,146.949,100.976,73.357,104.141,67.517,114.923,110.592,112.147,39.657,145.899,27.246,43.766,88.816,117.669,34.465,63.841,125.366,63.366,26.826,30.962,37.304
C2,88.675,179.740,123.868,717.965,280.733,339.163,301.479,154.806,230.467,55.681,103.548,144.907,517.269,147.904,104.623,71.177,104.511,66.420,117.195,111.154,112.659,39.627,143.537,27.007,43.824,89.395,116.797,33.841,63.997,126.079,63.182,27.246,30.926,37.270
C3,88.742,180.418,123.591,712.447,277.425,342.173,298.056,155.113,232.488,55.438,103.212,144.333,517.424,148.860,108.271,68.996,104.881,71.033,119.468,111.717,110.777,39.597,141.175,26.768,43.881,89.975,115.924,33.217,64.154,126.792,62.998,27.667,30.889,37.236
C4,88.809,181.097,123.315,706.930,274.116,345.183,294.633,155.420,234.510,55.195,102.875,143.758,517.580,149.816,111.918,66.816,105.252,75.750,121.740,112.279,108.895,39.567,138.813,26.529,43.938,90.555,115.051,32.593,64.311,127.506,62.814,28.087,30.852,37.202
C5,88.876,181.776,123.038,701.412,270.808,348.194,291.210,155.727,236.531,54.953,102.538,143.183,517.735,150.771,115.565,64.636,105.622,80.467,124.013,112.842,107.013,39.537,136.451,26.290,43.995,91.134,114.179,31.969,64.467,128.219,62.630,28.507,30.815,37.167
C6,88.944,182.455,122.761,695.894,267.499,351.204,287.787,156.034,238.552,54.710,102.202,142.609,517.890,151.727,119.212,62.455,105.992,85.185,126.285,113.404,105.131,39.507,134.089,26.052,44.053,91.714,113.306,31.346,64.624,128.933,62.447,28.927,30.779,37.133
C7,89.011,183.134,122.484,690.377,264.191,354.214,284.363,156.340,240.573,54.467,101.865,142.034,518.046,152.683,122.859,60.275,106.362,89.902,128.558,113.966,103.249,39.477,131.727,25.813,44.110,92.294,112.434,30.722,64.780,129.646,62.263,29.348,30.742,37.099
C8,89.078,183.812,122.207,684.859,260.882,357.224,280.940,156.647,242.594,54.224,101.529,141.459,518.201,153.638,126.506,58.095,106.732,94.619,130.830,114.529,101.367,39.447,129.365,25.574,44.167,92.873,111.561,30.098,64.937,130.359,62.079,29.768,30.705,37.065
C9,89.145,184.491,121.930,679.341,257.574,360.234,277.517,156.954,244.616,53.981,101.192,140.884,518.356,154.594,130.153,55.914,107.103,99.337,133.103,115.091,99.485,39.417,127.003,25.335,44.224,93.453,110.688,29.474,65.093,131.073,61.895,30.188,30.668,37.031
C10,89.212,185.170,121.653,673.824,254.265,363.245,274.094,157.261,246.637,53.738,100.855,140.310,518.512,155.550,133.801,53.734,107.473,104.054,135.375,115.654,97.603,39.387,124.641,25.096,44.281,94.033,109.816,28.851,65.250,131.786,61.711,30.608,30.632,36.997
C11,89.279,185.849,121.376,668.306,250.956,366.255,270.671,157.568,248.658,53.495,100.519,139.735,518.667,156.505,137.448,51.554,107.843,108.771,137.648,116.216,95.721,39.357,122.279,24.857,44.339,94.612,108.943,28.227,65.406,132.500,61.527,31.029,30.595,36.962
C12,89.346,186.528,121.099,662.788,247.648,369.265,267.248,157.874,250.679,53.252,100.182,139.160,518.823,157.461,141.095,49.373,108.213,113.488,139.920,116.779,93.840,39.327,119.918,24.618,44.396,95.192,108.071,27.603,65.563,133.213,61.344,31.449,30.558,36.928
C13,89.413,187.206,120.822,657.271,244.339,372.275,263.825,158.181,252.701,53.009,99.845,138.586,518.978,158.417,144.742,47.193,108.583,118.206,142.193,117.341,91.958,39.297,117.556,24.380,44.453,95.771,107.198,26.979,67.360,133.926,61.160,31.869,30.522,36.894
C14,89.480,187.885,120.546,651.753,241.031,375.285,260.402,158.488,254.722,52.767,99.509,138.011,519.133,159.372,148.389,45.013,108.954,122.923,144.465,117.904,90.076,39.267,115.194,24.141,44.510,96.351,106.326,26.355,69.457,134.640,60.976,32.289,30.485,37.617
C15,89.547,188.564,120.269,646.235,237.722,378.295,256.979,158.795,256.743,52.524,99.172,137.436,519.289,160.328,152.036,42.832,109.324,127.640,146.738,118.466,88.194,39.237,112.832,23.902,44.567,96.931,105.453,25.732,71.553,135.353,60.792,32.709,30.448,38.885
C16,89.614,189.243,119.992,640.718,234.414,381.306,253.556,159.102,258.764,52.281,98.836,136.862,519.444,161.284,152.480,40.652,109.694,132.357,149.010,119.029,86.312,39.207,110.470,23.663,44.625,97.510,104.580,25.108,73.650,134.824,60.608,33.130,30.411,40.154
C17,89.681,189.922,119.715,635.200,231.105,384.316,250.133,159.408,260.785,52.038,98.499,136.287,519.599,162.239,149.256,38.472,110.064,137.075,151.283,119.591,84.430,39.177,108.108,23.424,44.682,98.090,103.708,24.484,75.747,134.011,60.425,33.550,30.375,41.422
