Filename,5800x_l.tif,5800x_l.tif,9700c.tif,9700d.tif,9700x.tif,9700x.tif,9700xh.tif,9700xh.tif,9700x_r.tif,13500x_n.tif,24500xj.tif,CM100-5.tif
C1,151.787,147.990,53.461,122.368,81.896,96.465,186.761,116.942,137.895,221.789,140.143,72.656
C2,153.104,153.608,53.948,121.660,82.691,96.669,186.860,115.674,137.807,222.546,141.220,72.309
C3,154.421,159.225,54.436,120.952,83.486,96.873,186.958,114.407,137.718,223.303,142.297,71.962
C4,155.738,164.134,54.923,120.244,84.280,97.078,187.056,113.139,137.629,224.060,143.373,71.615
C5,157.055,163.062,55.411,119.537,85.075,97.282,187.155,111.872,137.541,224.816,144.450,71.268
C6,158.372,161.990,55.899,118.829,85.870,97.486,187.253,110.604,137.452,225.573,145.527,70.921
C7,159.689,160.919,56.386,118.121,86.665,97.691,187.351,109.337,137.363,226.330,146.604,70.574
C8,161.006,159.847,56.874,117.413,87.460,97.895,187.450,108.069,137.275,227.087,147.680,70.227
C9,162.323,158.775,57.361,116.705,88.254,98.099,187.548,106.802,137.186,227.843,148.757,69.881
C10,163.640,157.703,57.849,115.997,89.049,98.304,187.646,105.534,137.098,228.600,149.834,69.534
C11,164.957,156.631,58.337,115.290,89.844,98.508,187.745,104.267,137.009,229.357,150.911,69.187
C12,166.274,155.559,58.824,114.582,90.639,98.712,187.843,102.999,136.920,230.114,151.988,68.840
C13,167.590,154.488,59.312,113.874,91.434,98.916,187.941,101.732,136.832,230.870,153.064,68.493
C14,168.907,153.416,59.799,113.166,92.229,99.121,188.040,100.464,136.743,231.627,154.141,68.146
C15,170.224,152.344,60.287,112.458,93.023,99.325,188.138,99.197,136.654,232.384,155.218,67.799
C16,171.541,151.272,60.774,111.750,93.818,99.529,188.236,98.286,136.566,233.141,156.295,67.452
C17,172.858,150.200,61.262,111.043,94.613,99.734,188.335,99.425,136.477,233.897,157.371,67.105
C18,174.175,149.128,61.750,110.335,95.408,99.938,188.433,100.565,136.388,235.925,158.448,66.758
C19,175.492,148.057,62.237,109.627,96.203,100.142,188.531,101.704,136.300,238.109,159.525,66.411
C20,176.809,146.985,62.725,108.919,96.997,100.347,188.630,102.843,136.211,240.293,160.602,66.065
C21,178.126,145.913,63.212,108.211,97.792,100.551,188.728,103.983,136.122,242.477,161.679,65.718
C22,179.443,144.841,63.700,107.503,98.587,100.755,188.826,105.122,136.034,244.661,162.755,65.371
C23,180.760,143.769,64.188,106.796,99.382,100.960,188.925,106.261,135.945,246.845,163.832,65.024
C24,181.253,142.698,64.675,106.088,100.177,101.164,189.023,107.400,135.857,249.029,164.909,64.677
C25,181.374,141.626,65.163,105.380,100.971,101.368,189.122,108.540,135.768,251.213,165.986,64.330
C26,181.496,140.554,65.650,104.672,101.766,101.572,189.220,109.679,135.679,253.397,167.063,63.983
C27,181.618,138.782,66.138,103.964,102.561,101.777,189.318,110.818,135.591,255.581,168.139,63.636
C28,181.740,136.406,66.625,103.256,103.356,101.981,189.417,111.958,135.502,257.765,169.216,63.289
C29,181.862,134.030,67.113,102.548,104.151,101.292,189.515,113.097,135.413,259.949,170.293,62.942
C30,181.984,131.654,67.601,101.841,104.946,100.573,189.613,114.236,135.325,262.133,171.370,62.595
C31,182.105,129.277,68.088,101.133,105.740,99.854,189.712,115.376,135.236,264.317,172.446,62.249
C32,182.227,126.901,68.576,100.425,106.535,99.135,189.810,116.515,135.147,266.501,173.523,61.902
C33,182.349,124.525,69.063,99.717,107.330,98.416,189.908,117.654,135.059,268.685,174.600,61.555
C34,182.471,122.149,69.551,99.009,108.125,97.697,190.007,118.794,134.970,270.869,175.677,61.208
C35,182.593,119.773,70.039,98.301,108.920,96.979,190.105,119.933,134.882,273.053,176.754,60.861
C36,182.715,117.397,70.526,97.594,109.714,96.260,190.203,121.072,134.793,275.237,177.830,60.514
C37,182.810,115.020,71.014,96.886,110.509,95.541,190.302,122.212,134.704,277.421,178.907,60.167
C38,179.939,112.644,71.501,96.178,111.304,94.822,190.400,123.351,134.616,279.605,179.984,59.820
C39,177.068,110.268,71.989,95.470,112.099,94.103,190.498,124.490,134.527,281.789,181.061,59.473
C40,174.197,107.892,72.477,94.762,112.894,93.384,190.597,125.630,134.438,283.973,182.137,59.126
C41,171.326,105.516,72.964,94.054,113.688,92.665,190.695,126.769,134.350,286.157,183.214,58.780
C42,168.455,106.548,73.452,93.347,114.625,91.947,190.793,127.908,134.261,288.341,184.291,58.433
C43,165.584,110.074,73.939,92.930,115.709,91.228,190.892,129.048,134.172,290.525,185.368,58.086
C44,162.713,113.599,74.427,93.751,116.793,90.509,190.990,130.187,134.084,292.709,186.310,57.739
C45,159.842,117.124,74.914,94.571,117.876,89.790,191.088,131.326,133.995,294.893,187.115,57.392
C46,156.971,120.649,75.402,95.391,118.960,89.071,191.187,132.466,133.907,297.077,187.919,57.045
C47,154.100,124.174,75.890,95.860,120.044,88.352,191.285,133.605,133.818,299.261,188.723,57.985
C48,151.229,127.699,76.377,96.084,121.128,87.633,191.383,134.744,133.729,301.444,189.528,59.282
C49,148.358,131.224,76.865,96.308,122.211,86.915,191.482,135.884,133.641,303.628,190.332,60.579
C50,147.237,134.750,77.352,96.532,123.295,86.196,191.580,137.023,133.552,305.812,191.137,61.877
C51,149.060,138.275,77.840,96.756,124.379,85.775,191.678,138.162,133.463,307.996,191.941,63.174
C52,150.883,141.800,78.328,96.980,125.462,86.016,191.777,139.302,133.375,307.580,192.745,64.472
C53,152.706,145.325,78.761,97.204,126.546,86.257,191.841,140.441,133.286,306.091,193.550,65.769
C54,154.528,148.850,79.058,97.428,127.630,86.498,190.569,141.580,133.197,304.603,194.260,67.066
C55,156.351,152.375,79.354,97.652,128.713,86.739,189.722,142.720,133.109,303.114,193.937,68.364
C56,158.174,155.900,79.651,97.876,129.797,86.980,188.874,143.859,133.020,301.626,193.615,69.661
C57,159.997,159.426,79.947,98.100,130.881,87.221,188.027,143.149,132.932,300.137,193.293,70.959
C58,161.820,162.951,80.244,98.324,131.965,87.463,187.180,142.283,132.843,298.648,192.971,72.256
C59,163.642,166.476,80.540,98.548,133.048,87.704,186.333,141.416,132.754,297.160,192.649,73.553
C60,165.465,170.001,80.837,98.772,134.132,87.945,185.486,140.550,132.666,295.671,192.326,74.851
C61,167.288,173.563,81.133,98.996,135.216,88.186,184.639,139.683,132.577,294.183,192.004,76.148
C62,169.111,176.284,81.430,99.220,135.522,88.427,183.792,138.817,132.488,292.694,191.682,77.445
C63,170.934,178.614,81.726,99.444,135.384,88.668,182.944,137.950,132.400,291.150,191.360,78.802
C64,172.756,180.945,82.023,99.668,135.247,88.909,182.097,137.084,132.311,289.515,191.037,80.241
C65,172.402,183.276,82.319,99.892,135.109,89.150,181.250,136.110,132.222,287.880,190.715,81.680
C66,171.812,185.607,82.616,100.116,134.972,89.391,180.403,135.010,132.134,286.244,190.393,83.119
C67,171.222,187.938,82.912,100.340,134.834,89.632,179.556,133.910,132.045,284.609,190.071,84.558
C68,172.174,190.269,83.209,100.564,134.697,89.873,178.709,132.810,131.957,282.973,189.748,85.997
C69,175.492,192.600,82.401,100.788,134.559,90.115,177.862,131.710,131.868,281.338,189.426,87.436
C70,178.809,194.931,81.377,101.012,134.422,90.356,177.014,130.610,131.779,279.703,189.104,88.875
C71,182.127,197.262,80.353,101.236,134.284,90.597,176.167,129.510,131.691,278.067,188.782,90.314
C72,185.444,199.592,79.329,101.460,134.147,90.838,175.320,128.410,131.602,276.432,188.459,91.753
C73,188.762,201.923,78.305,101.684,134.009,91.079,174.473,127.309,131.513,274.797,188.137,93.192
C74,192.079,204.254,77.281,101.908,133.872,91.320,173.626,126.209,131.425,273.161,187.815,94.631
C75,195.397,206.585,76.257,102.132,133.734,91.561,172.779,125.109,131.336,271.526,187.493,96.070
C76,198.714,208.916,75.233,102.356,133.597,91.802,171.932,124.009,131.247,269.891,187.170,97.509
C77,202.032,211.247,74.209,102.580,133.459,92.043,171.084,122.909,131.159,268.255,186.848,97.225
