Filename,17500x_o.tif,17500x_b.tif,9700x_k.tif,9700x_h.tif,7400x_j.tif,7400x_i.tif,7400x_a.tif
C1,114.063,82.498,59.633,103.848,92.895,299.413,99.682
C2,113.901,82.367,60.121,105.005,91.951,297.108,99.367
C3,113.740,82.235,60.609,106.162,91.007,294.802,99.052
C4,113.579,82.103,61.097,107.319,90.063,292.496,98.737
C5,113.417,81.972,61.586,108.476,89.119,290.191,97.710
C6,113.256,81.840,62.074,109.633,88.176,287.885,96.557
C7,113.095,81.709,62.562,110.790,87.232,285.580,95.404
C8,112.933,81.577,63.051,111.946,86.288,283.274,94.251
C9,112.772,81.446,63.539,113.103,85.344,280.969,93.098
C10,112.611,81.314,64.027,114.260,84.400,278.663,91.945
C11,112.449,81.183,64.516,115.417,83.456,276.358,90.792
C12,112.288,81.051,65.004,116.574,82.512,274.052,89.639
C13,112.127,80.920,65.492,117.731,81.569,271.747,88.486
C14,111.965,80.788,65.981,118.888,80.625,269.441,87.333
C15,111.804,80.657,66.469,120.045,79.681,267.136,86.180
C16,111.643,80.525,66.957,121.202,78.737,264.830,85.027
C17,111.481,80.394,67.446,122.359,77.793,262.524,83.875
C18,111.320,80.262,67.934,123.516,76.849,260.219,82.722
C19,111.159,80.130,68.422,124.673,75.905,257.913,81.569
C20,110.997,79.999,68.911,125.830,74.995,255.608,80.416
C21,110.836,79.867,69.399,126.987,75.209,253.302,79.263
C22,110.675,79.736,69.887,128.144,75.267,250.997,78.110
C23,110.513,79.604,70.376,129.301,75.301,248.691,76.957
C24,110.352,79.473,70.864,130.458,75.335,246.386,75.804
C25,110.191,79.341,71.352,131.614,75.369,244.080,74.651
C26,110.029,79.210,71.841,132.771,75.403,241.775,73.498
C27,109.868,79.078,72.329,133.928,75.436,239.469,72.345
C28,109.707,78.947,72.817,135.085,75.470,237.164,71.192
C29,109.548,78.815,73.306,136.242,75.504,234.858,70.039
C30,109.396,78.684,73.794,137.399,75.538,232.553,68.886
C31,109.244,78.552,74.282,138.556,75.572,230.247,67.733
C32,109.092,78.420,74.771,139.713,75.606,227.941,66.580
C33,108.940,78.289,75.259,140.870,75.640,225.636,65.428
C34,108.788,78.157,75.747,142.027,75.673,223.330,64.275
C35,108.635,78.026,76.236,143.184,75.707,221.025,63.723
C36,108.483,77.894,76.724,144.341,75.741,218.719,65.409
C37,108.331,77.763,77.212,145.498,75.775,216.414,67.096
C38,108.179,77.631,77.701,146.655,75.809,214.108,68.782
C39,108.027,77.500,78.189,147.812,75.843,211.803,70.469
C40,107.875,77.368,78.677,148.969,75.876,209.497,72.155
C41,107.723,77.237,79.166,150.126,75.910,207.192,73.841
C42,107.571,77.105,79.654,151.283,75.944,204.886,74.143
C43,107.419,76.974,80.142,152.439,75.978,202.581,74.143
C44,107.267,76.842,80.631,152.404,76.012,200.275,74.143
C45,107.115,76.711,81.119,151.339,76.046,197.969,74.143
C46,106.963,76.579,81.607,150.274,76.079,195.664,74.143
C47,106.811,76.447,82.095,149.209,76.113,193.358,74.143
C48,106.659,76.316,82.584,148.144,76.147,191.053,74.143
C49,106.507,76.184,83.072,147.079,76.181,188.747,74.143
C50,106.355,76.053,83.560,146.014,76.215,186.442,74.143
C51,106.203,75.921,84.049,144.949,76.249,184.136,74.143
C52,106.051,75.790,84.537,143.884,76.283,181.831,74.143
C53,105.899,75.658,85.025,142.819,76.316,179.525,74.143
C54,105.747,75.527,85.514,141.754,76.350,177.177,74.143
C55,105.595,75.395,86.002,140.689,76.384,174.658,74.143
C56,105.443,75.264,87.855,139.624,76.418,172.139,74.143
C57,105.291,75.132,91.741,138.559,76.452,169.619,74.143
C58,105.139,75.001,95.627,137.494,76.486,167.100,74.143
C59,104.986,74.869,99.513,136.429,76.519,164.581,74.143
C60,104.834,74.737,103.398,135.364,80.124,162.062,74.143
C61,104.682,74.606,107.284,134.299,84.309,159.542,74.143
C62,104.530,74.474,111.170,133.234,88.494,157.023,74.143
C63,104.378,74.343,115.056,132.169,92.679,154.504,74.143
C64,104.226,74.211,118.942,129.794,96.767,151.985,74.143
C65,104.074,74.080,122.827,127.327,97.294,149.465,74.143
C66,103.922,74.013,126.713,124.859,97.820,146.946,74.143
C67,103.770,74.264,130.599,122.392,98.347,144.427,74.143
C68,103.618,74.516,134.485,119.924,98.873,141.908,74.143
C69,103.466,74.768,138.371,117.457,99.400,139.388,74.143
C70,103.314,75.020,142.256,114.989,99.926,136.869,74.143
C71,103.162,75.272,144.551,112.522,100.453,134.350,74.143
C72,103.010,75.524,143.196,110.054,100.979,131.831,74.143
C73,102.858,75.776,140.357,107.587,101.506,129.311,74.143
C74,102.706,76.028,133.962,105.119,102.032,126.792,74.143
C75,102.554,76.279,127.567,102.652,102.559,124.273,74.143
C76,102.402,76.531,121.172,100.184,103.085,121.753,73.824
C77,102.250,76.783,114.777,97.717,102.534,122.432,73.291
C78,102.098,77.035,108.382,95.249,101.528,123.345,72.757
C79,101.946,77.287,101.986,92.782,100.521,124.259,72.224
C80,101.794,77.539,95.591,90.314,99.514,125.172,71.691
C81,101.642,77.791,89.196,87.847,98.507,126.086,71.157
C82,101.490,78.043,82.801,85.379,97.500,126.999,70.944
C83,101.346,78.294,76.406,82.912,96.494,127.913,71.964
C84,101.221,78.546,70.011,80.444,95.487,128.826,72.983
C85,101.097,78.798,63.615,77.977,94.480,129.740,74.003
C86,100.972,79.050,57.220,75.509,93.473,130.653,75.023
C87,100.848,79.197,50.825,73.042,92.466,131.567,76.042
C88,100.723,78.929,44.430,70.606,91.460,132.480,77.062
C89,100.599,78.660,39.801,70.730,90.453,133.394,78.081
C90,100.474,78.392,40.178,70.854,89.446,134.308,79.101
C91,100.349,78.123,40.555,70.978,88.439,135.221,80.121
C92,100.225,77.854,40.932,71.102,87.432,136.135,81.140
C93,100.100,77.586,41.309,71.226,86.426,137.048,82.160
C94,99.976,77.317,41.686,71.350,87.369,137.962,83.180
C95,99.851,77.049,42.063,71.474,88.823,138.875,84.199
C96,99.727,76.780,42.398,71.598,90.278,139.789,85.219
C97,99.602,76.512,41.977,71.722,91.733,140.702,86.238
C98,99.478,76.243,41.556,71.846,93.188,141.616,87.258
C99,99.353,75.974,41.135,71.970,94.643,142.529,88.278
C100,99.229,75.706,40.715,72.094,96.097,143.443,89.297
C101,99.104,75.437,40.294,72.218,97.552,144.356,90.317
C102,98.979,75.169,39.873,72.342,99.007,145.270,91.337
C103,98.855,74.900,39.452,72.466,100.462,146.183,92.356
C104,98.730,74.631,39.032,72.589,101.916,147.097,93.376
C105,98.606,74.363,38.611,72.713,103.371,148.011,94.395
C106,98.481,74.094,38.190,72.837,104.826,148.924,93.732
C107,98.357,73.826,37.769,72.961,106.281,149.838,92.465
C108,98.232,73.557,37.348,73.085,107.736,150.751,90.687
C109,98.108,73.289,36.928,73.209,109.190,151.665,88.908
C110,97.983,73.020,36.507,73.333,110.645,152.578,87.130
C111,97.858,72.751,36.086,73.457,112.100,153.492,85.351
C112,97.734,72.483,35.665,73.581,113.555,154.405,83.573
C113,97.609,72.214,35.245,73.705,114.005,155.319,81.794
C114,97.717,71.946,34.824,73.829,113.417,156.232,80.015
C115,97.987,71.677,34.403,73.953,112.828,157.146,78.237
C116,98.256,71.408,33.982,74.077,112.240,158.059,76.458
C117,98.526,71.140,33.561,74.201,111.652,158.973,74.680
C118,98.795,70.871,33.141,74.325,111.064,159.886,72.901
C119,99.065,70.603,32.720,74.449,110.475,160.800,71.122
C120,99.335,70.334,32.299,74.573,109.887,161.714,69.344
C121,99.604,70.065,35.889,74.697,109.299,162.627,67.565
C122,99.874,69.797,39.785,74.821,108.711,163.541,65.787
C123,100.143,69.528,43.682,74.945,108.122,164.454,64.008
C124,100.413,69.260,47.578,75.069,107.534,165.368,62.230
C125,100.683,68.991,51.475,75.193,106.946,166.281,60.451
C126,100.952,68.723,55.371,75.312,106.357,167.195,58.672
C127,101.222,68.454,59.268,75.413,105.769,168.108,56.894
C128,101.492,68.185,63.164,75.514,105.181,169.022,55.115
C129,101.761,67.917,67.061,75.615,104.593,170.145,53.337
C130,102.031,67.648,70.957,75.716,104.004,171.788,51.558
C131,102.300,67.380,74.854,75.817,103.416,173.430,52.034
C132,102.570,67.111,78.750,75.918,102.828,175.073,53.952
C133,102.840,66.842,82.647,77.959,102.240,176.715,55.871
C134,103.109,66.574,86.543,80.763,101.651,178.358,57.789
C135,103.379,66.305,90.440,83.567,101.063,180.000,59.707
C136,103.648,66.037,94.336,86.371,100.475,181.643,61.625
C137,103.918,65.768,98.233,89.174,99.887,183.136,63.543
C138,104.188,65.500,98.023,91.978,99.298,183.384,65.461
C139,104.457,65.231,97.017,94.782,98.710,183.631,67.379
C140,104.727,64.962,96.012,97.586,98.122,183.878,69.297
C141,104.997,64.694,95.007,100.390,97.533,184.126,71.216
C142,105.266,64.425,94.002,103.193,96.945,184.373,73.134
C143,105.536,64.157,92.996,105.997,96.357,184.620,74.583
C144,105.805,63.888,91.991,108.801,95.769,184.868,75.161
C145,106.075,63.619,90.986,111.605,95.180,185.115,75.738
C146,106.283,63.351,89.981,114.408,94.592,185.362,76.316
C147,105.739,63.082,88.975,117.212,94.004,185.610,76.893
C148,105.194,62.814,87.970,120.016,93.416,185.857,77.471
C149,104.649,62.545,86.965,122.820,92.827,186.104,78.048
C150,104.105,62.276,85.960,125.623,92.239,186.352,78.626
C151,103.560,62.008,84.954,128.427,91.651,186.599,79.203
C152,103.016,61.739,83.949,131.231,91.063,186.846,79.781
C153,102.471,61.471,82.944,134.035,90.474,187.094,80.358
C154,101.926,61.202,81.939,136.838,89.886,187.341,80.936
C155,101.382,60.934,80.933,139.642,89.298,187.588,81.513
C156,100.837,60.665,79.928,142.446,88.709,187.836,82.091
C157,100.292,60.396,78.923,145.250,88.121,188.083,82.668
C158,99.748,60.569,77.918,148.053,87.533,188.330,83.246
C159,99.203,61.065,78.321,150.263,86.945,188.578,83.823
C160,98.658,61.561,80.414,149.953,86.356,188.825,84.401
C161,98.114,62.056,82.746,149.643,85.768,189.072,84.887
C162,97.569,62.552,85.078,149.333,85.180,189.320,84.411
C163,97.024,63.048,87.410,149.023,84.592,189.567,83.935
C164,96.480,63.544,89.742,148.713,84.003,189.814,83.460
C165,95.935,64.039,92.074,148.403,83.415,190.062,82.984
C166,95.391,64.535,94.406,148.093,82.827,190.309,82.508
C167,94.846,65.031,96.738,147.783,82.239,190.556,82.033
C168,94.301,65.526,99.070,147.473,81.650,190.804,81.557
C169,93.757,66.022,101.402,147.163,81.062,191.051,81.081
C170,93.212,66.518,103.734,146.853,80.474,191.298,80.606
C171,92.667,67.013,106.066,146.543,79.885,191.546,80.130
C172,92.123,67.509,108.398,146.233,79.297,191.793,79.654
C173,91.578,68.005,110.730,145.923,78.709,192.040,80.317
C174,91.033,68.500,111.145,145.613,79.057,192.288,81.447
C175,90.489,68.996,110.379,145.303,80.086,192.535,82.578
C176,89.944,69.492,109.612,144.993,81.115,192.782,83.708
C177,89.400,69.988,108.846,144.683,82.143,193.030,84.839
C178,88.855,70.483,108.079,144.373,83.172,193.277,85.969
C179,88.310,70.979,107.312,144.414,84.201,193.524,87.100
C180,87.766,71.475,106.546,144.652,85.229,193.772,88.230
C181,87.221,71.970,105.779,144.891,86.258,194.019,89.361
C182,86.676,72.466,105.013,145.129,87.287,194.266,90.492
C183,86.132,72.962,104.246,145.368,88.315,194.514,91.622
C184,85.587,73.457,103.480,145.606,89.344,194.761,92.753
C185,85.042,73.953,102.713,145.845,90.373,195.008,93.883
C186,86.107,74.449,101.946,146.083,91.401,195.256,95.014
C187,87.213,74.944,98.693,146.321,92.430,195.503,96.144
C188,88.319,75.440,94.992,146.560,93.459,195.750,97.275
C189,89.426,75.936,91.291,146.798,94.487,196.028,98.405
C190,90.532,76.431,87.591,147.527,95.516,196.311,99.536
C191,91.638,76.537,83.890,148.302,96.545,196.593,100.666
C192,92.744,76.637,80.190,149.077,97.573,196.876,101.797
C193,93.851,76.736,76.489,149.852,98.602,197.159,102.927
C194,94.957,76.835,72.788,150.627,99.631,197.442,104.058
C195,96.063,76.935,69.088,151.403,100.659,196.916,105.360
C196,97.169,77.034,65.387,152.178,101.688,196.354,106.923
C197,98.276,77.134,61.687,152.953,102.717,195.793,108.485
C198,99.382,77.233,58.627,153.728,103.745,195.232,110.047
C199,100.488,77.332,60.120,154.503,104.774,194.670,111.610
C200,101.595,77.432,61.613,155.278,105.803,194.109,113.172
C201,102.701,77.531,63.106,156.053,106.831,193.548,114.734
C202,103.807,77.630,64.599,156.828,107.860,192.987,116.297
C203,104.913,77.730,66.092,156.444,108.889,192.425,117.859
C204,106.020,77.829,67.585,155.518,109.918,191.864,119.421
C205,107.126,77.929,69.078,154.591,110.946,191.303,120.984
C206,108.232,78.028,70.571,153.664,111.975,190.741,122.546
C207,109.338,78.127,72.064,152.737,113.004,190.180,124.108
C208,110.445,78.227,73.557,151.810,114.032,189.619,125.671
C209,111.551,78.326,75.050,150.884,115.061,189.057,127.233
C210,112.657,78.426,76.543,149.957,116.090,188.496,128.796
C211,113.763,78.525,78.036,149.030,117.118,187.935,130.358
C212,114.870,78.624,79.529,148.103,118.147,187.374,131.920
C213,115.976,78.724,81.022,147.176,119.176,186.812,133.483
C214,117.082,78.823,82.515,146.250,120.204,186.251,135.045
C215,118.188,78.922,84.008,145.323,121.233,185.690,136.607
C216,119.295,79.022,85.501,144.396,122.012,185.128,138.170
C217,120.401,79.121,86.994,143.469,122.327,184.567,136.153
C218,121.507,79.221,88.487,142.542,122.642,184.006,133.306
C219,122.613,79.320,89.980,141.616,122.957,183.444,130.458
C220,123.720,79.419,91.473,140.689,123.075,182.883,127.611
C221,124.826,79.519,92.966,139.762,123.073,182.322,124.764
C222,125.932,79.618,94.459,138.835,123.070,181.761,121.916
C223,127.038,79.717,95.952,137.908,123.067,181.199,119.069
C224,128.145,79.817,97.445,136.982,123.065,180.638,116.222
C225,129.251,79.916,98.938,136.055,123.062,180.077,113.374
C226,130.357,80.016,100.431,135.128,123.060,179.515,110.527
C227,130.523,80.115,101.924,134.201,123.057,178.954,107.680
C228,130.149,80.214,103.417,133.274,123.054,178.393,104.832
C229,129.593,80.314,104.910,132.348,123.052,177.831,101.985
C230,128.961,80.413,106.403,131.421,123.049,177.270,99.137
C231,128.329,80.512,107.261,130.494,123.047,176.709,96.290
