Filename,33000x_m.tif,17500x_j.tif,9700x_m.tif,9700x_m.tif,9700x_m.tif,7400x_r.tif,7400x_l.tif,7400x_k.tif
C1,87.359,0.052,160.029,225.315,208.105,96.650,153.729,131.895
C2,87.312,0.052,159.720,225.844,206.609,97.275,153.793,134.054
C3,87.264,0.052,159.411,226.374,205.112,97.900,153.857,136.213
C4,87.217,0.052,159.102,226.903,203.616,98.525,153.921,138.371
C5,87.170,0.052,158.793,227.433,202.119,99.151,153.985,140.530
C6,87.123,0.052,158.484,227.963,200.623,99.776,154.049,142.688
C7,87.075,0.052,158.174,228.492,199.126,100.401,154.113,144.847
C8,87.028,0.052,157.865,229.022,197.630,101.026,154.177,147.005
C9,86.981,0.052,157.556,229.552,196.133,101.651,154.241,149.164
C10,86.934,0.052,157.247,230.081,194.637,102.276,154.305,151.323
C11,86.886,0.052,156.938,230.611,193.140,102.902,154.369,153.481
C12,86.839,0.051,156.629,231.140,191.644,103.527,154.433,155.640
C13,86.792,0.051,156.320,231.670,190.148,104.152,154.497,157.798
C14,86.744,0.051,156.011,232.200,188.651,104.777,154.561,159.957
C15,86.697,0.051,155.702,232.729,187.155,105.402,154.625,162.115
C16,86.650,0.051,155.393,233.259,189.202,106.028,154.689,164.274
C17,86.603,0.051,155.084,233.788,190.477,106.653,154.753,166.433
C18,86.555,0.051,154.774,234.318,190.342,107.278,154.817,168.591
C19,86.508,0.051,154.465,234.848,190.208,107.903,154.881,170.750
C20,86.461,0.051,154.156,235.377,190.074,108.528,154.945,172.908
C21,86.414,0.051,153.847,235.907,189.939,109.154,155.009,175.067
C22,86.366,0.051,153.538,236.437,189.805,109.779,155.073,177.225
C23,86.319,0.051,153.229,236.966,189.671,110.404,155.137,179.384
C24,86.272,0.051,152.920,237.496,189.536,111.029,155.201,181.542
C25,86.225,0.050,152.611,238.025,189.402,111.654,155.265,183.701
C26,86.177,0.050,152.302,238.555,189.268,112.279,155.329,185.860
C27,86.130,0.050,151.993,239.085,189.133,112.905,155.393,188.018
C28,86.083,0.050,151.684,239.614,188.999,113.530,155.457,190.177
C29,86.035,0.050,151.374,240.144,188.865,114.155,155.521,192.335
C30,85.988,0.050,151.065,240.673,188.730,114.780,155.585,194.494
C31,85.941,0.050,150.756,241.203,188.596,115.405,155.649,196.652
C32,85.894,0.050,150.447,241.733,188.462,116.031,155.713,198.811
C33,85.846,0.050,150.138,242.262,188.327,116.656,155.777,200.970
C34,85.799,0.050,149.829,242.792,188.193,117.281,155.841,203.128
C35,85.752,0.050,149.520,243.322,188.059,117.906,155.905,205.287
C36,85.705,0.050,149.211,243.851,187.924,118.531,155.969,207.445
C37,85.657,0.050,148.902,244.381,187.790,119.157,156.033,209.604
C38,85.610,0.049,148.593,244.910,187.656,119.782,156.097,211.762
C39,85.563,0.049,148.284,245.440,187.521,120.407,156.161,213.921
C40,85.515,0.049,147.974,245.970,187.387,121.032,156.225,216.080
C41,85.468,0.049,147.665,246.499,187.253,121.657,156.289,218.238
C42,85.421,0.049,147.356,247.029,187.118,122.282,156.353,217.406
C43,85.374,0.049,147.047,247.558,186.984,122.908,156.417,216.248
C44,85.326,0.049,146.738,248.088,186.850,123.533,156.481,215.091
C45,85.279,0.049,146.429,248.618,186.715,124.158,156.545,213.933
C46,85.232,0.049,146.120,249.147,186.581,124.783,156.609,212.775
C47,85.185,0.049,145.811,249.677,186.447,125.408,156.673,211.618
C48,85.137,0.049,145.502,250.207,186.312,126.034,156.737,210.460
C49,85.090,0.049,145.193,250.736,186.178,126.659,156.801,209.302
C50,85.043,0.049,144.884,251.266,186.044,127.284,156.865,208.145
C51,84.996,0.048,144.574,251.795,185.909,127.909,156.929,206.987
C52,84.948,0.048,144.265,252.325,185.775,128.534,156.993,205.829
