Filename,9700x_s.tif,7400x_r.tif,7400x_r.tif,7400x_h.tif,74oox_g.tif
C1,81.721,139.729,326.175,186.748,215.002
C2,78.644,141.686,322.454,186.452,215.368
C3,75.568,143.644,318.732,186.156,215.735
C4,72.492,145.601,315.010,185.861,216.101
C5,69.416,147.559,311.289,185.565,216.468
C6,66.339,149.516,307.567,185.269,216.834
C7,63.263,151.474,303.846,184.974,217.201
C8,60.187,153.432,300.124,184.678,217.567
C9,57.111,155.389,296.403,184.383,217.933
C10,55.855,157.347,292.681,184.087,218.300
C11,55.777,159.304,288.959,183.791,218.666
C12,55.699,161.262,285.238,183.496,219.033
C13,55.621,163.219,281.516,183.200,219.399
C14,55.543,165.177,277.795,182.904,219.766
C15,55.466,167.134,274.073,182.609,220.132
C16,55.388,169.092,270.352,182.313,220.499
C17,55.310,171.050,266.630,182.018,220.865
C18,55.232,173.007,262.909,181.722,221.232
C19,55.154,174.965,258.455,181.426,221.598
C20,55.076,176.922,253.592,181.131,221.964
C21,54.998,178.880,248.729,180.835,222.331
C22,54.920,180.837,243.866,180.539,222.697
C23,54.842,182.795,243.296,180.244,223.064
C24,54.764,184.752,246.069,179.948,223.430
C25,54.686,186.710,248.843,179.653,223.797
C26,54.608,188.668,251.617,179.357,224.163
C27,54.530,190.625,254.390,179.061,224.530
C28,54.453,192.583,257.164,178.766,224.896
C29,54.375,194.540,259.938,178.470,225.262
C30,54.297,196.498,262.711,178.174,225.629
C31,54.219,198.455,265.485,177.879,225.995
C32,54.141,200.413,268.259,177.583,226.362
C33,54.063,202.371,271.033,177.288,226.728
C34,53.985,204.328,273.806,176.992,227.095
C35,53.907,205.332,276.580,176.696,227.461
C36,53.829,201.689,279.354,176.401,227.828
C37,53.751,198.046,282.127,176.105,228.194
C38,53.673,194.403,284.901,175.809,228.561
C39,53.595,190.760,287.675,175.514,228.927
C40,53.518,187.117,290.449,175.218,229.293
C41,53.440,183.474,293.222,174.923,229.660
C42,53.362,179.831,295.996,174.627,230.026
C43,53.284,176.188,298.770,174.331,230.393
C44,53.206,172.538,301.543,174.036,230.759
C45,53.128,168.828,304.317,173.740,231.126
C46,53.050,165.118,307.091,173.444,231.492
C47,52.972,161.408,309.864,173.149,231.859
C48,52.894,157.698,312.638,172.853,232.225
C49,52.816,153.988,315.412,172.558,232.591
C50,52.738,150.278,318.186,172.262,232.958
C51,52.660,146.568,320.959,171.966,233.324
C52,52.940,143.400,323.733,171.671,233.691
C53,53.463,140.683,326.507,171.375,234.057
C54,53.986,137.966,329.280,171.079,234.424
C55,54.508,135.249,332.338,170.784,234.790
C56,55.031,132.532,335.739,170.488,235.157
C57,55.553,129.815,339.140,170.193,235.523
C58,56.076,127.097,342.541,169.897,235.889
C59,56.598,124.380,345.942,169.601,236.256
C60,57.121,121.663,349.343,169.306,236.622
C61,57.644,118.946,352.744,169.010,236.951
C62,58.166,116.229,356.145,168.753,237.161
C63,58.689,113.512,359.546,168.695,237.371
C64,59.211,110.795,362.947,168.638,237.580
C65,59.734,108.077,366.347,168.580,237.790
C66,60.256,105.360,369.748,168.522,238.000
C67,60.779,102.643,373.149,168.464,238.209
C68,61.302,99.926,376.550,168.406,238.419
C69,61.824,97.209,379.951,168.348,238.629
C70,62.347,94.492,383.352,168.290,238.838
C71,62.869,91.774,386.753,168.233,239.048
C72,63.392,89.057,387.418,168.175,239.258
C73,63.914,86.340,387.295,168.117,239.468
C74,64.437,83.623,387.173,168.059,239.677
C75,64.960,80.906,387.050,168.001,239.887
C76,65.482,78.189,386.928,167.943,240.097
