Filename,17500x_e.tif,9700x_d.tif,9700x_d.tif,7400x_g.tif,7400x_f.tif,7400x_b.tif,7400x_a.tif
C1,22.818,148.711,27.526,18.292,96.329,38.218,86.556
C2,22.760,148.785,28.760,18.648,97.762,34.626,87.017
C3,22.701,148.858,29.994,19.003,99.194,31.034,87.478
C4,22.642,148.931,31.229,19.359,100.627,27.443,87.939
C5,22.584,149.005,32.463,19.715,102.059,23.851,88.400
C6,22.525,149.078,33.698,20.070,103.491,20.259,88.860
C7,22.467,149.152,34.932,20.426,104.924,16.667,89.321
C8,22.408,149.225,36.166,20.782,106.356,13.076,89.782
C9,22.349,149.298,37.401,21.137,107.789,9.484,90.243
C10,22.291,149.372,38.635,21.493,109.221,5.892,90.704
C11,22.232,149.445,39.869,21.849,110.653,2.300,91.165
C12,22.174,149.519,41.104,22.204,112.086,1.291,91.625
C13,22.115,149.592,42.338,22.560,113.518,4.883,92.086
C14,22.056,149.665,43.572,22.916,114.950,8.475,92.547
C15,21.998,149.739,44.807,23.271,116.383,12.067,93.008
C16,21.939,149.812,46.041,23.627,117.815,15.658,93.469
C17,21.881,149.886,47.275,23.983,119.248,19.250,93.930
C18,21.822,149.959,48.510,24.338,120.680,22.842,94.391
C19,21.763,147.245,49.744,24.694,122.112,26.434,94.851
C20,21.705,144.068,50.978,25.050,123.545,30.026,95.312
C21,21.646,140.892,52.213,25.405,124.977,33.617,95.773
C22,21.588,137.715,53.447,25.761,126.409,37.209,96.234
C23,21.529,134.539,54.681,26.117,127.842,40.801,96.695
C24,21.471,131.362,55.916,26.473,129.274,44.393,97.156
C25,21.412,128.186,57.150,26.828,130.707,47.984,97.617
C26,21.353,125.009,58.384,27.184,132.139,51.576,98.077
C27,21.295,121.833,59.619,27.540,133.571,54.630,98.538
C28,21.236,118.656,60.853,27.895,135.004,52.427,98.999
C29,21.178,115.480,62.088,28.251,136.436,50.224,99.460
C30,21.119,112.304,63.322,28.607,137.869,48.021,99.921
C31,21.060,109.127,64.556,28.962,139.301,45.818,100.382
C32,21.002,105.951,65.791,29.318,140.652,43.615,100.842
C33,20.943,102.774,67.025,29.674,138.497,41.413,101.303
C34,20.885,99.598,68.259,30.029,136.341,39.210,101.764
C35,20.826,96.421,69.494,30.385,134.186,37.007,102.225
C36,20.767,93.245,70.728,30.741,132.030,34.804,102.686
C37,20.709,90.068,69.946,31.096,129.875,32.601,103.147
C38,20.650,86.892,68.775,31.452,127.719,30.398,103.608
C39,20.592,83.715,67.603,31.808,125.564,28.195,104.068
C40,20.533,80.539,66.432,32.163,123.408,25.992,104.529
C41,20.474,77.362,65.261,32.519,121.253,25.031,104.990
C42,21.879,74.186,64.090,32.875,119.097,24.359,105.658
C43,23.622,71.009,62.918,33.230,116.942,23.687,105.361
C44,25.365,67.833,61.747,33.586,114.786,23.016,105.005
C45,27.107,64.657,60.576,33.942,112.631,22.344,104.650
C46,28.850,61.480,59.405,34.297,110.475,21.672,104.295
C47,29.797,58.304,58.233,34.653,108.320,21.001,103.939
C48,30.012,55.396,57.062,35.009,106.168,20.329,103.584
C49,30.228,55.554,55.891,35.364,104.106,19.657,103.229
C50,30.444,55.712,54.719,35.720,102.045,18.986,102.873
C51,30.659,55.871,52.566,36.076,99.983,18.314,102.518
C52,30.875,56.029,50.200,36.431,97.921,17.642,102.163
C53,31.090,56.187,47.835,36.787,95.859,16.970,101.808
C54,31.306,56.345,45.469,37.143,93.797,16.299,101.452
C55,31.521,56.504,43.103,37.499,91.735,15.627,101.097
C56,31.737,56.662,40.738,37.854,89.673,14.955,100.742
C57,31.953,56.820,38.372,38.210,87.611,14.284,100.386
C58,32.168,56.978,36.006,38.566,85.549,13.612,100.031
C59,32.384,57.137,33.641,38.921,83.488,12.940,99.676
C60,32.599,57.295,31.275,39.277,81.426,12.269,99.320
C61,32.815,57.453,28.909,39.633,79.364,11.597,98.965
C62,33.031,57.611,26.544,39.988,77.302,10.925,98.610
C63,33.246,57.770,24.178,40.344,75.240,10.253,98.254
C64,33.462,57.928,21.812,40.700,73.178,9.582,97.899
C65,33.677,58.086,19.447,41.055,71.116,8.910,97.544
C66,33.893,58.244,17.081,41.411,69.054,8.238,97.189
C67,34.108,58.403,14.716,41.767,66.992,7.567,96.833
C68,34.324,58.561,12.350,42.122,64.930,6.895,96.478
C69,34.540,58.719,11.715,42.478,62.869,6.223,96.123
C70,34.755,58.877,13.176,42.834,60.807,5.552,95.767
C71,34.971,59.035,14.637,43.189,58.745,4.880,95.412
C72,35.186,59.194,16.099,43.545,56.683,4.208,95.057
C73,36.814,59.352,17.560,43.901,54.621,3.536,94.701
C74,38.612,59.510,19.021,44.256,52.559,2.865,94.346
C75,40.410,59.668,20.482,44.612,50.497,2.193,93.991
C76,42.207,59.827,21.943,44.968,48.435,1.521,93.635
C77,44.005,59.985,23.404,45.323,46.373,0.850,93.280
C78,45.803,60.143,24.865,45.679,44.312,0.178,92.925
C79,45.899,60.301,26.327,46.035,42.250,0.494,92.569
C80,45.834,60.460,27.788,46.390,40.188,1.165,92.214
C81,45.769,60.618,29.249,46.746,38.126,1.837,91.859
C82,45.704,60.776,30.710,47.102,36.064,2.509,91.504
C83,45.639,60.934,32.171,47.457,34.002,4.288,91.148
C84,45.574,61.093,33.632,47.813,31.940,7.361,90.793
C85,45.508,61.251,35.093,48.169,32.081,10.435,90.438
C86,45.443,61.409,36.555,48.525,32.471,13.508,90.082
C87,45.378,61.567,38.016,48.880,32.861,16.581,89.727
C88,45.313,61.726,39.477,49.236,33.250,19.654,89.372
C89,45.248,61.884,40.938,49.592,33.640,22.727,89.016
C90,45.183,62.042,42.399,49.947,34.030,25.800,88.661
C91,45.118,62.200,43.860,50.303,34.420,28.873,88.306
C92,45.053,62.359,45.321,50.659,34.810,31.946,87.545
C93,44.988,62.517,46.783,51.014,35.200,35.019,85.333
C94,44.923,62.675,48.244,51.370,35.590,38.092,83.122
C95,44.858,62.833,49.705,51.726,35.980,41.165,80.911
C96,44.793,62.992,51.166,52.081,36.369,44.238,78.699
C97,44.728,63.150,52.627,52.437,36.759,47.311,76.488
C98,44.662,63.308,54.088,52.793,37.149,50.385,75.616
C99,44.597,63.466,55.549,53.148,37.539,53.458,75.380
C100,44.532,63.625,57.011,53.504,37.929,55.389,75.144
C101,44.467,63.783,58.472,53.860,38.319,55.546,74.908
C102,44.402,63.941,59.933,54.284,38.709,55.703,74.671
C103,44.337,64.099,61.394,55.212,39.099,55.860,74.435
C104,44.272,64.258,62.855,55.620,39.488,56.017,74.199
C105,44.207,64.416,64.316,56.029,39.878,56.174,73.963
C106,44.142,64.574,65.777,56.438,40.268,56.331,73.727
C107,44.077,64.732,67.238,56.847,40.658,56.488,73.491
C108,44.012,64.891,68.700,57.255,41.048,56.645,73.255
C109,43.947,65.049,70.161,57.664,41.438,56.802,73.019
C110,43.882,65.207,71.622,58.073,41.828,56.959,72.783
C111,43.816,65.365,73.083,58.482,42.218,57.116,72.547
C112,43.751,65.524,74.544,58.890,42.607,57.273,72.311
C113,43.686,65.682,76.005,59.299,42.997,57.430,72.075
C114,43.621,65.742,77.466,59.708,43.387,57.587,71.838
C115,43.556,64.488,78.928,60.117,43.777,57.744,71.602
C116,43.491,63.234,80.389,60.525,44.167,57.901,71.366
C117,43.426,61.980,81.257,60.934,44.557,58.058,71.130
C118,43.361,60.726,80.940,61.343,44.947,58.215,70.894
C119,43.296,59.472,79.882,61.752,45.336,58.372,70.658
C120,43.231,58.218,78.824,62.160,45.726,58.529,70.422
