NAME,,,,,,LENGTH,holes,Sample
4,241460.03,132.164,31.475,185.76,34.252,14537.082,0,0B
7400x_h,115182.085,118.874,54.357,202.97,33.031,12355.608,0,0B
13500x_r,29542.862,150.405,65.155,238.456,-119.065,5744.153,0,0B
7400x_r,116749.158,113.373,56.026,173.951,34.996,12210.209,2,0B
7400x_v,120624.35,112.88,28.587,178.136,48.688,12452.743,4,0B
7400x_w1,977,136.957,31,206.417,89.354,976.058,0,0B
7400x_w2,968,124.867,1.056,207.775,-85.492,966.991,0,0B
9700x_m,81808.447,186.738,7.37,247,29.484,11175.332,3,0B
9700x_s,61782.281,116.626,3.915,238.899,-58.506,8558.723,1,0B
13500x_j,34568.224,179.88,0.708,247,0.475,6768.857,2,0B
17,25794.055,89.459,2.553,163.249,-98.006,5015.86,0,0B
13500x_q,29595.835,102.159,7.15E-10,186.053,-119.701,5794.922,1,0B
CM100-5,9037.42,90.463,33.871,136.979,-107.643,3082.195,0,3B
9700x_r,58913.049,74.347,1.49,143.189,-118.824,8173.523,0,3B
9700xh1,52317.319,135.804,2.175,200.6,-102.003,7245.478,0,3B
9700xh2,52993.387,115.265,3.832,157.207,-109.877,7339.215,0,3B
9700d,48064.066,96.877,2.375,171.793,-98.019,6740.07,0,3B
9700xc,66152.677,79.114,1.625,156.348,-130.769,9250.064,0,3B
17500x_o,20386.44,115.068,1.15,205.038,-127.314,5074.253,0,4B
17500x_b,17935.736,57.271,0.033,125.621,-63.526,4493.488,0,4B
9700x_k,58089.905,136.132,0.676,233.675,-119.095,8044.788,0,4B
79700x_h,52994.916,185.612,3.495,242.764,-106.548,7341.26,0,4B
7400x_j,85795.657,125.376,0.034,170.684,-91.13,9083.468,0,4B
7400x_i,92922.295,71.276,0.419,173.151,-81.4,9714.135,0,4B
7400x_a,90000.386,89.188,1.418,145.327,-87.005,9455.441,0,4B
4200x_l,327129.473,106.071,52.943,162.494,-118.57,19169.632,0,4B
4200x_m,312103.313,166.764,49.913,207.107,-115.241,18379.168,2,4B
5800x_m1,142867.896,122.498,23.447,191.318,-113.103,11632.097,0,4B
5800x_m2,166503.575,117.728,61.029,182.443,-113.805,13558.094,0,4B
17500x_j,13668.048,86.643,8.8,136.177,-54.147,3440.692,0,5B
9700x_m,70509.197,104.131,0.933,198.728,-45.029,9865.755,0,5B
7400x_r,124109.502,136.067,4.66E-09,198.045,15.997,13061.468,0,5B
7400x_l,102478.216,105.465,0,140.104,-61.833,10782.623,0,5B
4200x_i1,295845.843,146.312,30.18,201.989,-101.845,17261.618,0,5B
4200x_i2,294673.016,177.081,39.793,247,-90.285,17191.994,0,5B
7400x_k,93284.134,52.252,1.146,113.046,-84.137,9691.248,0,5B
4200x_h,384241.221,81.194,9.958,176.375,-16.29,22928.573,0,5B
13500x_e,35125.943,104.414,28.871,183.692,2.689,6811.465,2,7B
9700x_s,68284.911,120.07,24.106,181.898,49.882,9465.047,2,7B
7400x_r,87273.209,157.254,0.383,237.217,-85.495,9303.176,2,7B
20,218136.563,136.527,82.333,196.346,-13.327,17288.027,1,7B
74oox_g,103731.44,117.842,12.418,190.829,-59.859,10903.999,0,7B
4200x_h,381999.113,84.868,11.153,156.352,-16.598,22803.991,0,7B
17500x_e,24538.869,92.901,1.381,149.6,-27.849,6016.905,0,9B
7400x_g,96638.576,90.477,8,169,-64.376,10254.575,1,9B
7400x_f,108252.566,124.877,3.869,223.142,-46.173,11434.771,1,9B
5,126391.156,135.228,0.384,192.378,-24.019,13482.684,1,9B
