 ,Area,Mean,Min,Max,Angle,Skew,Kurt,%Area,Length
1,254.131,43.032,27.146,66.341,45.000,0,0,0,60.826
2,222.365,50.316,39.588,71.414,45.000,0,0,0,53.223
3,174.715,53.104,43.671,62.161,53.130,0,0,0,38.769
4,142.949,59.699,45.044,87.776,45.000,0,0,0,30.413
5,238.248,47.671,36.562,59.119,47.726,0,0,0,57.151
6,206.481,55.623,51.044,63.687,30.964,0,0,0,46.249
7,158.832,65.693,57.808,87.881,40.601,0,0,0,34.425
8,222.365,57.723,53.081,66.334,36.027,0,0,0,53.763
9,206.481,63.925,52.441,77.714,48.366,0,0,0,49.567
10,206.481,66.390,57.882,98.628,48.366,0,0,0,49.567
11,190.598,57.007,51.178,67.986,41.186,0,0,0,41.991
12,127.065,65.183,60.481,75.347,0.000,0,0,0,26.882
13,142.949,76.790,67.477,92.779,29.745,0,0,0,31.349
14,222.365,83.075,69.551,128.811,36.027,0,0,0,53.763
15,142.949,97.353,78.000,135.296,45.000,0,0,0,30.413
16,270.014,84.541,72.605,109.670,42.510,0,0,0,64.740
17,206.481,82.330,72.054,108.837,51.340,0,0,0,49.567
18,254.131,76.466,65.536,88.279,63.435,0,0,0,60.109
19,476.496,84.015,66.512,140.205,47.862,0,0,0,114.303
20,349.430,84.824,75.745,94.356,52.595,0,0,0,83.981
21,349.430,97.765,81.159,161.395,56.310,0,0,0,85.007
22,381.196,97.387,85.279,123.984,63.435,0,0,0,91.398
23,412.963,94.156,79.312,127.408,60.255,0,0,0,98.697
24,412.963,96.425,86.159,119.967,53.130,0,0,0,100.006
25,317.664,89.327,77.086,106.386,57.095,0,0,0,77.539
26,412.963,95.418,88.350,102.129,64.440,0,0,0,101.012
27,444.729,96.226,87.924,109.211,61.557,0,0,0,108.197
28,460.612,90.406,75.444,102.922,62.526,0,0,0,110.706
29,476.496,93.923,74.454,115.548,60.751,0,0,0,115.435
30,460.612,91.544,79.478,117.995,61.557,0,0,0,110.706
31,476.496,91.501,79.882,100.818,67.834,0,0,0,115.810
32,397.080,92.921,79.880,115.709,62.354,0,0,0,96.175
33,397.080,85.984,80.436,92.207,64.537,0,0,0,93.894
34,349.430,85.618,81.393,93.193,67.166,0,0,0,81.890
35,333.547,89.362,74.286,119.039,84.289,0,0,0,81.359
36,270.014,92.744,74.009,137.589,79.380,0,0,0,65.406
37,206.481,84.173,65.065,102.342,65.556,0,0,0,48.087
38,206.481,90.022,70.545,116.920,75.964,0,0,0,49.567
39,190.598,83.774,76.353,93.311,90.000,0,0,0,43.011
