 ,Area,Mean,Min,Max,Angle,Skew,Kurt,%Area,Length
1,4.750E-4,94.271,86.000,102.000,-40.601,0,0,0,0.092
2,4.750E-4,95.657,81.185,133.000,-47.291,0,0,0,0.088
3,5.000E-4,85.168,77.881,90.576,-74.476,0,0,0,0.093
4,5.500E-4,85.464,80.000,99.000,-75.964,0,0,0,0.103
5,3.000E-4,87.250,80.000,92.000,-90.000,0,0,0,0.055
6,5.000E-4,94.250,81.000,111.000,-90.000,0,0,0,0.095
7,5.250E-4,85.460,78.230,94.125,-72.474,0,0,0,0.100
8,5.000E-4,83.741,77.000,89.726,-55.491,0,0,0,0.097
9,4.000E-4,89.438,82.000,101.000,-53.130,0,0,0,0.075
10,2.500E-4,87.749,80.481,99.000,-57.995,0,0,0,0.047
11,3.000E-4,87.915,77.099,102.041,-63.435,0,0,0,0.056
12,4.250E-4,88.044,70.000,112.000,-75.964,0,0,0,0.082
13,6.750E-4,87.704,73.000,115.000,-90.000,0,0,0,0.130
14,5.750E-4,73.187,66.512,83.000,-116.565,0,0,0,0.112
15,6.000E-4,74.783,65.174,96.000,-80.134,0,0,0,0.117
16,5.250E-4,73.493,63.250,85.900,-81.469,0,0,0,0.101
17,7.750E-4,80.578,72.400,90.000,-93.814,0,0,0,0.150
18,6.000E-4,71.254,57.870,81.609,-80.134,0,0,0,0.117
19,8.500E-4,61.784,53.000,70.000,-91.736,0,0,0,0.165
20,0.001,67.672,61.929,73.978,-52.253,0,0,0,0.196
21,0.001,60.889,53.829,72.022,-44.091,0,0,0,0.223
22,8.250E-4,58.612,45.294,70.000,-65.854,0,0,0,0.159
23,9.000E-4,65.515,58.878,75.000,-59.036,0,0,0,0.175
24,9.750E-4,61.841,51.252,73.000,-68.199,0,0,0,0.188
25,0.001,61.404,45.558,77.000,-95.315,0,0,0,0.216
