 ,Area,Mean,Min,Max,Angle,Skew,Kurt,%Area,Length
1,332.170,152.355,139.240,166.360,35.362,0,0,0,110.307
2,315.136,156.495,138.450,184.021,34.992,0,0,0,104.831
3,315.136,146.544,138.412,154.115,28.740,0,0,0,104.015
4,289.584,150.118,139.690,164.085,30.379,0,0,0,95.224
5,340.687,146.625,132.282,163.183,36.573,0,0,0,112.601
6,221.447,146.283,132.604,159.370,40.101,0,0,0,72.595
7,238.481,154.843,143.562,173.787,36.027,0,0,0,78.740
8,255.516,147.104,135.482,159.236,42.138,0,0,0,83.702
9,383.273,145.230,128.635,174.311,40.314,0,0,0,128.542
10,306.619,144.976,131.149,156.885,39.174,0,0,0,103.342
11,298.101,142.174,129.419,152.235,36.529,0,0,0,98.425
12,357.722,140.986,123.283,156.042,41.055,0,0,0,119.998
13,306.619,140.126,124.135,150.209,36.870,0,0,0,101.602
14,298.101,140.754,129.199,153.781,41.348,0,0,0,97.793
15,315.136,135.034,123.575,150.386,38.157,0,0,0,103.940
16,272.550,134.352,125.729,141.935,36.870,0,0,0,89.778
17,204.412,137.555,127.346,158.416,37.875,0,0,0,67.735
18,298.101,132.138,121.509,149.736,37.875,0,0,0,98.425
19,272.550,128.097,116.669,135.272,43.668,0,0,0,89.084
20,298.101,129.966,113.677,149.452,37.875,0,0,0,98.425
21,323.653,120.018,111.102,129.031,37.185,0,0,0,107.098
22,374.756,120.420,104.169,147.869,32.574,0,0,0,125.615
23,306.619,114.126,105.622,133.576,40.426,0,0,0,103.342
24,255.516,104.390,91.396,127.187,43.603,0,0,0,83.517
