 ,Area,Mean,Min,Max,Angle,Skew,Kurt,%Area,Length
1,828.722,66.588,50.333,115.000,-93.814,0,0,0,108.193
2,725.132,70.750,57.363,110.556,-94.764,0,0,0,91.287
3,725.132,70.750,57.363,110.556,-94.764,0,0,0,91.287
4,621.542,68.008,59.566,78.222,-90.000,0,0,0,81.565
5,725.132,73.649,64.376,94.000,-94.399,0,0,0,96.437
6,776.927,77.941,67.333,114.111,-90.000,0,0,0,100.756
7,569.747,87.909,67.000,121.000,-90.000,0,0,0,71.969
8,414.361,91.910,81.778,108.000,-90.000,0,0,0,52.995
9,621.542,87.054,77.736,117.000,-94.764,0,0,0,81.706
10,621.542,91.038,79.333,135.222,-90.000,0,0,0,81.565
11,621.542,89.843,82.101,117.000,-90.000,0,0,0,81.565
12,466.156,83.130,76.667,93.000,-97.125,0,0,0,58.369
13,673.337,90.466,80.667,105.000,-94.764,0,0,0,86.496
14,569.747,94.616,85.667,123.667,-90.000,0,0,0,71.969
15,725.132,91.511,81.201,115.000,-94.399,0,0,0,91.287
16,725.132,85.202,78.065,98.000,-90.000,0,0,0,91.287
17,621.542,96.717,89.587,119.333,-94.764,0,0,0,82.127
18,673.337,90.706,84.790,103.080,-100.305,0,0,0,83.792
19,569.747,95.758,87.133,110.333,-101.310,0,0,0,73.394
20,621.542,93.614,87.275,106.556,-109.983,0,0,0,81.987
21,569.747,95.291,89.800,104.200,-111.801,0,0,0,71.326
22,517.951,96.618,92.588,99.778,-116.565,0,0,0,62.373
23,362.566,94.750,89.222,105.111,-120.964,0,0,0,41.273
24,362.566,96.741,92.000,102.333,-111.801,0,0,0,40.993
25,517.951,100.831,93.337,111.333,-110.556,0,0,0,62.373
26,621.542,106.897,96.315,123.444,-105.255,0,0,0,80.428
27,517.951,98.637,91.889,105.333,-90.000,0,0,0,62.373
28,569.747,98.575,90.400,116.000,-108.435,0,0,0,72.843
29,569.747,104.665,95.058,116.667,-111.801,0,0,0,73.080
30,569.747,102.240,92.511,117.667,-101.310,0,0,0,74.484
31,569.747,103.855,97.267,115.667,-101.310,0,0,0,73.394
32,569.747,98.010,92.533,105.667,-108.435,0,0,0,71.326
33,673.337,105.850,95.167,118.556,-109.983,0,0,0,86.496
34,466.156,103.148,91.500,117.000,-97.125,0,0,0,58.369
35,673.337,116.330,106.222,139.000,-99.462,0,0,0,88.469
36,776.927,101.381,87.857,112.000,-98.130,0,0,0,101.212
37,673.337,115.299,102.444,151.000,-90.000,0,0,0,86.363
38,725.132,114.747,104.434,128.000,-94.086,0,0,0,96.437
39,828.722,116.012,106.048,137.889,-97.595,0,0,0,105.990
40,673.337,108.387,101.000,116.296,-100.305,0,0,0,82.825
41,828.722,113.909,106.716,129.083,-90.000,0,0,0,105.663
42,673.337,117.846,107.667,132.667,-90.000,0,0,0,86.363
43,1087.698,116.794,104.333,141.333,-90.000,0,0,0,143.938
44,828.722,105.538,94.394,126.667,-93.814,0,0,0,105.663
45,725.132,116.220,105.032,127.442,-90.000,0,0,0,96.078
