 ,Area,Mean,Min,Max,Angle,Skew,Kurt,%Area,Length
1,2.957,106.590,93.118,119.882,-5.042,0,0,0,9.921
2,2.450,99.341,84.768,127.356,-3.945,0,0,0,8.244
3,2.112,97.964,84.324,109.847,-7.125,0,0,0,7.102
4,2.450,97.615,87.654,107.729,-12.529,0,0,0,7.998
5,2.112,102.049,86.932,117.442,-14.621,0,0,0,6.848
6,2.450,100.028,89.757,114.682,-16.504,0,0,0,8.188
7,2.535,99.372,90.161,110.120,-20.323,0,0,0,8.309
8,2.873,90.283,81.185,104.790,-19.537,0,0,0,9.549
9,3.549,92.234,72.007,119.504,-15.751,0,0,0,11.797
10,3.380,90.188,77.064,113.971,-14.744,0,0,0,11.419
11,2.535,85.763,75.102,95.530,-18.435,0,0,0,8.309
12,2.197,91.498,82.102,109.029,-9.462,0,0,0,7.156
13,2.281,92.526,84.284,124.554,-12.995,0,0,0,7.614
14,2.450,93.345,77.915,123.832,-10.491,0,0,0,7.998
15,2.788,95.173,74.927,134.168,-14.470,0,0,0,9.321
16,2.619,89.004,74.790,109.003,-13.570,0,0,0,8.847
17,2.704,81.628,74.364,102.482,-15.422,0,0,0,8.942
18,3.295,78.289,64.775,101.944,-16.991,0,0,0,11.042
19,2.704,74.702,67.401,86.884,-16.699,0,0,0,9.053
20,2.535,76.902,68.565,89.672,-26.565,0,0,0,8.419
21,1.943,68.771,60.411,74.544,-30.069,0,0,0,6.323
22,1.943,72.590,64.901,83.784,-30.069,0,0,0,6.323
23,2.281,72.899,62.593,91.433,-22.620,0,0,0,7.573
24,2.028,72.903,63.263,88.189,-28.811,0,0,0,6.666
25,2.197,65.179,55.379,81.611,-30.579,0,0,0,7.199
26,2.281,68.063,54.167,98.108,-21.801,0,0,0,7.573
27,2.028,67.322,55.641,89.687,-19.983,0,0,0,6.701
28,1.267,61.027,54.630,69.675,-30.256,0,0,0,4.037
29,1.859,58.221,51.766,68.081,-31.430,0,0,0,5.986
30,1.774,47.819,40.607,59.950,-17.526,0,0,0,5.829
