,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,L3,Unkn-01,tsl1,,17.1875879571119,17.0055397718081,0.213798690004498,NaN,NaN,NaN,NaN,60,
,A02,SYBR,L3,Unkn-01,tsl1,,17.0589238628519,17.0055397718081,0.213798690004498,NaN,NaN,NaN,NaN,60,
,A03,SYBR,L3,Unkn-01,tsl1,,16.7701074954603,17.0055397718081,0.213798690004498,NaN,NaN,NaN,NaN,60,
,A04,SYBR,R1,Unkn-02,tsl1,,20.0209683770133,20.0652395337094,0.0836589568255375,NaN,NaN,NaN,NaN,60,
,A05,SYBR,R1,Unkn-02,tsl1,,20.0130187433273,20.0652395337094,0.0836589568255375,NaN,NaN,NaN,NaN,60,
,A06,SYBR,R1,Unkn-02,tsl1,,20.1617314807875,20.0652395337094,0.0836589568255375,NaN,NaN,NaN,NaN,60,
,A07,SYBR,Tsl,Unkn-03,tsl1,,25.6331835624992,25.7620367032845,0.145707714521124,NaN,NaN,NaN,NaN,60,
,A08,SYBR,Tsl,Unkn-03,tsl1,,25.9201563318688,25.7620367032845,0.145707714521124,NaN,NaN,NaN,NaN,60,
,A09,SYBR,Tsl,Unkn-03,tsl1,,25.7327702154856,25.7620367032845,0.145707714521124,NaN,NaN,NaN,NaN,60,
,A10,SYBR,E3,NTC,tsl1,,NaN,0,0,NaN,NaN,0,0,60,
,A11,SYBR,E3,NTC,tsl1,,NaN,0,0,NaN,NaN,0,0,60,
,A12,SYBR,E3,NTC,tsl1,,NaN,0,0,NaN,NaN,0,0,60,
,B01,SYBR,L3,Unkn-05,tsl2,,20.6461711084996,20.3908464843287,0.237475704150298,NaN,NaN,NaN,NaN,60,
,B02,SYBR,L3,Unkn-05,tsl2,,20.3497965979145,20.3908464843287,0.237475704150298,NaN,NaN,NaN,NaN,60,
,B03,SYBR,L3,Unkn-05,tsl2,,20.1765717465719,20.3908464843287,0.237475704150298,NaN,NaN,NaN,NaN,60,
,B04,SYBR,R1,Unkn-06,tsl2,,23.3821054352141,23.2635532926291,0.104247700356352,NaN,NaN,NaN,NaN,60,
,B05,SYBR,R1,Unkn-06,tsl2,,23.1862044477267,23.2635532926291,0.104247700356352,NaN,NaN,NaN,NaN,60,
,B06,SYBR,R1,Unkn-06,tsl2,,23.2223499949464,23.2635532926291,0.104247700356352,NaN,NaN,NaN,NaN,60,
,B07,SYBR,Tsl,Unkn-07,tsl2,,29.5950952302534,29.3639107712349,0.203039189537838,NaN,NaN,NaN,NaN,60,
,B08,SYBR,Tsl,Unkn-07,tsl2,,29.2145513695103,29.3639107712349,0.203039189537838,NaN,NaN,NaN,NaN,60,
,B09,SYBR,Tsl,Unkn-07,tsl2,,29.282085713941,29.3639107712349,0.203039189537838,NaN,NaN,NaN,NaN,60,
,B10,SYBR,E3,NTC,tsl2,,NaN,0,0,NaN,NaN,0,0,60,
,B11,SYBR,E3,NTC,tsl2,,NaN,0,0,NaN,NaN,0,0,60,
,B12,SYBR,E3,NTC,tsl2,,NaN,0,0,NaN,NaN,0,0,60,
,C01,SYBR,L3,Unkn-09,tsl3,,18.3161379102185,18.3991034235896,0.0719709805488554,NaN,NaN,NaN,NaN,60,
,C02,SYBR,L3,Unkn-09,tsl3,,18.4447532817214,18.3991034235896,0.0719709805488554,NaN,NaN,NaN,NaN,60,
,C03,SYBR,L3,Unkn-09,tsl3,,18.4364190788289,18.3991034235896,0.0719709805488554,NaN,NaN,NaN,NaN,60,
,C04,SYBR,R1,Unkn-10,tsl3,,21.7745827304166,21.6916903999755,0.0834896061031329,NaN,NaN,NaN,NaN,60,
